locusName	Best_hit_arabi_name	arabi-symbol	arabi-defline	at_tf_family	pt_tf_family
Potri.001G014100	AT5G60900.1	RLK1	receptor-like protein kinase 1	-	-
Potri.001G014200	AT4G02550.4	-	-	-	-
Potri.001G014300	AT5G60900.1	RLK1	receptor-like protein kinase 1	-	-
Potri.001G014400	AT5G60900.1	RLK1	receptor-like protein kinase 1	-	-
Potri.001G014500	AT5G60900.1	RLK1	receptor-like protein kinase 1	-	-
Potri.001G014600	AT5G60900.1	RLK1	receptor-like protein kinase 1	-	-
Potri.001G014700	AT5G60900.1	RLK1	receptor-like protein kinase 1	-	-
Potri.001G014800	AT5G60900.1	RLK1	receptor-like protein kinase 1	-	-
Potri.001G014900	AT5G59600.1	-	Tetratricopeptide repeat (TPR)-like superfamily protein	-	-
Potri.001G015000	AT3G57930.2	-	-	-	-
Potri.001G015100	AT5G44640.1	BGLU13	beta glucosidase 13	-	-
Potri.001G015200	-	-	-	-	-
Potri.001G015300	AT3G45140.1	ATLOX2,LOX2	lipoxygenase 2	-	-
Potri.001G015400	AT3G45140.1	ATLOX2,LOX2	lipoxygenase 2	-	-
Potri.001G015500	AT3G45140.1	ATLOX2,LOX2	lipoxygenase 2	-	-
Potri.001G015600	AT3G45140.1	ATLOX2,LOX2	lipoxygenase 2	-	-
Potri.001G015700	AT3G57880.1	-	Calcium-dependent lipid-binding (CaLB domain) plant phosphoribosyltransferase family protein	-	-
Potri.001G015800	AT5G04690.1	-	Ankyrin repeat family protein	-	-
Potri.001G015900	AT1G73730.1	AtEIL3,ATSLIM,EIL3,SLIM1	ETHYLENE-INSENSITIVE3-like 3	EIL	EIL
Potri.001G016000	AT1G73730.1	AtEIL3,ATSLIM,EIL3,SLIM1	ETHYLENE-INSENSITIVE3-like 3	EIL	EIL
Potri.001G016100	-	-	-	-	-
Potri.001G016200	AT3G20810.1	-	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein	-	-
Potri.001G016300	AT5G12890.1	-	UDP-Glycosyltransferase superfamily protein	-	-
Potri.001G016400	AT5G12890.1	-	UDP-Glycosyltransferase superfamily protein	-	-
Potri.001G016500	AT5G12890.1	-	UDP-Glycosyltransferase superfamily protein	-	-
Potri.001G016600	AT5G12900.1	-	-	-	-
Potri.001G016700	AT5G10400.1	-	Histone superfamily protein	-	-
Potri.001G016800	AT5G12920.2	-	Transducin/WD40 repeat-like superfamily protein	-	-
Potri.001G016900	AT5G10400.1	-	Histone superfamily protein	-	-
Potri.001G017000	AT4G12070.1	-	-	-	-
Potri.001G017100	AT5G12930.1	-	-	-	-
Potri.001G017200	-	-	-	-	-
Potri.001G017300	AT1G51140.1	-	basic helix-loop-helix (bHLH) DNA-binding superfamily protein	bHLH	-
Potri.001G017400	AT1G76320.1	FRS4	FAR1-related sequence 4	FAR1	-
Potri.001G017500	AT3G20820.1	-	Leucine-rich repeat (LRR) family protein	-	-
Potri.001G017600	AT4G31980.1	-	-	-	-
Potri.001G017700	AT5G11290.1	-	Plant protein of unknown function (DUF247)	-	-
Potri.001G017800	AT4G31980.1	-	-	-	-
Potri.001G017900	AT4G31980.1	-	-	-	-
Potri.001G018000	AT4G08470.1	MAPKKK10,MEKK3	MAPK/ERK kinase kinase 3	-	-
Potri.001G018100	AT2G39725.1	-	LYR family of Fe/S cluster biogenesis protein	-	-
Potri.001G018200	AT5G12950.1	-	Putative glycosyl hydrolase of unknown function (DUF1680)	-	-
Potri.001G018300	AT3G20830.1	-	AGC (cAMP-dependent, cGMP-dependent and protein kinase C) kinase family protein	-	-
Potri.001G018400	AT1G51190.1	PLT2	Integrase-type DNA-binding superfamily protein	AP2	AP2
Potri.001G018500	AT5G13070.1	-	MSF1-like family protein	-	-
Potri.001G018600	AT1G51200.3	-	A20/AN1-like zinc finger family protein	-	-
Potri.001G018700	AT3G20860.1	ATNEK5,NEK5	NIMA-related kinase 5	-	-
Potri.001G018800	AT3G20870.1	ZTP29	ZIP metal ion transporter family	-	-
Potri.001G018900	AT1G51220.1	WIP5	WIP domain protein 5	C2H2	C2H2
Potri.001G019000	AT5G19620.1	ATOEP80,EMB213,OEP80,TOC75	outer envelope protein of 80 kDa	-	-
Potri.001G019100	AT1G63440.1	HMA5	heavy metal atpase 5	-	-
Potri.001G019200	AT1G76870.1	-	-	Trihelix	Trihelix
Potri.001G019300	-	-	-	-	-
Potri.001G019400	AT5G13490.1	AAC2	ADP/ATP carrier 2	-	-
Potri.001G019500	AT2G22410.1	SLO1	SLOW GROWTH 1	-	-
Potri.001G019600	AT3G63530.1	BB,BB2	RING/U-box superfamily protein	-	-
Potri.001G019700	-	-	-	-	-
Potri.001G019800	-	-	-	-	-
Potri.001G019900	-	-	-	-	-
Potri.001G020000	-	-	-	-	-
Potri.001G020100	-	-	-	-	-
Potri.001G020200	AT4G35040.1	bZIP19	Basic-leucine zipper (bZIP) transcription factor family protein	bZIP	bZIP
Potri.001G020300	AT3G51950.1	-	Zinc finger (CCCH-type) family protein / RNA recognition motif (RRM)-containing protein	-	-
Potri.001G020400	AT2G03200.1	-	Eukaryotic aspartyl protease family protein	-	-
Potri.001G020500	AT1G07740.1	-	Tetratricopeptide repeat (TPR)-like superfamily protein	-	-
Potri.001G020600	AT2G41560.1	ACA4	autoinhibited Ca(2+)-ATPase, isoform 4	-	-
Potri.001G020700	AT5G13470.1	-	-	-	-
Potri.001G020800	AT2G41540.2	GPDHC1	6-phosphogluconate dehydrogenase family protein	-	-
Potri.001G020900	AT3G63440.1	ATCKX6,ATCKX7,CKX6	cytokinin oxidase/dehydrogenase 6	-	-
Potri.001G021000	AT5G13460.1	IQD11	IQ-domain 11	-	-
Potri.001G021100	AT3G51940.1	-	-	-	-
Potri.001G021200	-	-	-	-	-
Potri.001G021300	-	-	-	-	-
Potri.001G021400	-	-	-	-	-
Potri.001G021500	AT1G78100.1	-	F-box family protein	-	-
Potri.001G021600	AT1G22220.1	-	F-box family protein	-	-
Potri.001G021700	-	-	-	-	-
Potri.001G021800	-	-	-	-	-
Potri.001G021900	-	-	-	-	-
Potri.001G022000	-	-	-	-	-
Potri.001G022100	-	-	-	-	-
Potri.001G022200	-	-	-	-	-
Potri.001G022300	-	-	-	-	-
Potri.001G022400	AT1G22220.1	-	F-box family protein	-	-
Potri.001G022500	AT4G31560.1	HCF153	high chlorophyll fluorescence 153	-	-
Potri.001G022600	-	-	-	-	-
Potri.001G022700	AT3G08550.1	ABI8,ELD1,KOB1	elongation defective 1 protein / ELD1 protein	-	-
Potri.001G022800	AT3G14460.1	-	LRR and NB-ARC domains-containing disease resistance protein	-	-
Potri.001G022900	AT3G51930.1	-	Transducin/WD40 repeat-like superfamily protein	-	-
Potri.001G023000	AT3G04040.1	-	-	-	-
Potri.001G023100	AT2G41430.5	CID1,ERD15,LSR1	dehydration-induced protein (ERD15)	-	-
Potri.001G023200	AT4G30880.1	-	Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein	-	-
Potri.001G023300	AT4G30880.1	-	Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein	-	-
Potri.001G023400	AT5G50400.1	ATPAP27,PAP27	purple acid phosphatase 27	-	-
Potri.001G023500	AT1G50420.1	SCL-3,SCL3	scarecrow-like 3	GRAS	GRAS
Potri.001G023600	AT3G13650.1	-	Disease resistance-responsive (dirigent-like protein) family protein	-	-
Potri.001G023700	AT1G65870.1	-	Disease resistance-responsive (dirigent-like protein) family protein	-	-
Potri.001G023800	AT3G13650.1	-	Disease resistance-responsive (dirigent-like protein) family protein	-	-
Potri.001G023900	AT1G29050.1	TBL38	TRICHOME BIREFRINGENCE-LIKE 38	-	-
Potri.001G024000	AT1G34570.1	-	Essential protein Yae1, N-terminal	-	-
Potri.001G024100	AT2G38800.1	-	Plant calmodulin-binding protein-related	-	-
Potri.001G024200	AT2G38780.1	-	-	-	-
Potri.001G024300	AT1G52340.1	ABA2,ATABA2,ATSDR1,GIN1,ISI4,SDR1,SIS4,SRE1	NAD(P)-binding Rossmann-fold superfamily protein	-	-
Potri.001G024400	AT2G38770.1	EMB2765	P-loop containing nucleoside triphosphate hydrolases superfamily protein	-	-
Potri.001G024500	AT1G63780.1	IMP4	Ribosomal RNA processing Brix domain protein	-	-
Potri.001G024600	AT1G76390.1	-	ARM repeat superfamily protein	-	-
Potri.001G024700	AT1G21670.1	-	-	-	-
Potri.001G024800	AT2G38760.1	ANN3,ANNAT3	annexin 3	-	-
Potri.001G024900	AT2G38750.1	ANNAT4	annexin 4	-	-
Potri.001G025000	AT5G12380.1	ANNAT8	annexin 8	-	-
Potri.001G025100	AT3G54500.1	-	-	-	-
Potri.001G025200	AT1G33720.1	CYP76C6	cytochrome P450, family 76, subfamily C, polypeptide 6	-	-
Potri.001G025300	AT2G47110.1	UBQ6	ubiquitin 6	-	-
Potri.001G025400	AT3G14470.1	-	NB-ARC domain-containing disease resistance protein	-	-
Potri.001G025500	AT3G54490.1	RPB5E	RNA polymerase II fifth largest subunit, E	-	-
Potri.001G025600	AT3G54480.1	SKIP5,SKP5	SKP1/ASK-interacting protein 5	-	-
Potri.001G025700	AT5G20710.1	BGAL7	beta-galactosidase 7	-	-
Potri.001G025800	AT5G20710.1	BGAL7	beta-galactosidase 7	-	-
Potri.001G025900	-	-	-	-	-
Potri.001G026000	AT3G14180.1	-	sequence-specific DNA binding transcription factors	Trihelix	Trihelix
Potri.001G026100	AT3G07300.1	-	NagB/RpiA/CoA transferase-like superfamily protein	-	-
Potri.001G026200	AT3G61790.1	-	Protein with RING/U-box and TRAF-like domains	-	-
Potri.001G026300	AT3G54470.1	-	uridine 5\'-monophosphate synthase / UMP synthase (PYRE-F) (UMPS)	-	-
Potri.001G026400	AT3G07940.1	-	Calcium-dependent ARF-type GTPase activating protein family	-	-
Potri.001G026500	AT2G11890.1	-	adenylate cyclases	-	-
Potri.001G026600	AT5G13810.1	-	Glutaredoxin family protein	-	-
Potri.001G026700	AT5G59560.2	SRR1	sensitivity to red light reduced protein (SRR1)	-	-
Potri.001G026800	AT5G13480.1	FY	Transducin/WD40 repeat-like superfamily protein	-	-
Potri.001G026900	AT5G19420.2	-	Regulator of chromosome condensation (RCC1) family with FYVE zinc finger domain	-	-
Potri.001G027000	AT3G57040.1	ARR9,ATRR4	response regulator 9	-	-
Potri.001G027100	AT3G54450.1	-	Major facilitator superfamily protein	-	-
Potri.001G027200	AT2G40030.1	ATNRPD1B,DMS5,DRD3,NRPD1B,NRPE1	nuclear RNA polymerase D1B	-	-
Potri.001G027300	-	-	-	-	-
Potri.001G027400	AT3G54440.1	-	glycoside hydrolase family 2 protein	-	-
Potri.001G027500	AT1G08590.1	-	Leucine-rich receptor-like protein kinase family protein	-	-
Potri.001G027600	-	-	-	-	-
Potri.001G027700	AT5G12330.4	LRP1	Lateral root primordium (LRP) protein-related	SRS	SRS
Potri.001G027800	-	-	-	-	-
Potri.001G027900	AT3G07960.1	-	Phosphatidylinositol-4-phosphate 5-kinase family protein	-	-
Potri.001G028000	AT3G27890.1	NQR	NADPH:quinone oxidoreductase	-	-
Potri.001G028100	AT5G13500.2	-	-	-	-
Potri.001G028200	AT3G54400.1	-	Eukaryotic aspartyl protease family protein	-	-
Potri.001G028300	AT1G08315.1	-	ARM repeat superfamily protein	-	-
Potri.001G028400	AT3G54390.1	-	sequence-specific DNA binding transcription factors	Trihelix	Trihelix
Potri.001G028500	AT3G06730.1	TRX P,TRX z	Thioredoxin z	-	-
Potri.001G028600	AT5G13930.1	ATCHS,CHS,TT4	Chalcone and stilbene synthase family protein	-	-
Potri.001G028700	AT5G36930.2	-	Disease resistance protein (TIR-NBS-LRR class) family	-	-
Potri.001G028800	-	-	-	-	-
Potri.001G028900	-	-	-	-	-
Potri.001G029000	-	-	-	-	-
Potri.001G029100	-	-	-	-	-
Potri.001G029200	-	-	-	-	-
Potri.001G029300	AT3G14460.1	-	LRR and NB-ARC domains-containing disease resistance protein	-	-
Potri.001G029400	AT5G07900.1	-	Mitochondrial transcription termination factor family protein	-	-
Potri.001G029500	AT3G12600.1	atnudt16,NUDT16	nudix hydrolase homolog 16	-	-
Potri.001G029600	AT5G13530.1	KEG	protein kinases;ubiquitin-protein ligases	-	-
Potri.001G029700	AT3G56710.1	SIB1	sigma factor binding protein 1	-	-
Potri.001G029800	AT3G12250.2	BZIP45,TGA6	TGACG motif-binding factor 6	bZIP	bZIP
Potri.001G029900	AT3G12260.1	-	LYR family of Fe/S cluster biogenesis protein	-	-
Potri.001G030000	AT2G38730.1	-	Cyclophilin-like peptidyl-prolyl cis-trans isomerase family protein	-	-
Potri.001G030100	AT5G06970.1	-	Protein of unknown function (DUF810)	-	-
Potri.001G030200	AT3G12270.1	ATPRMT3,PRMT3	protein arginine methyltransferase 3	-	-
Potri.001G030300	AT5G07900.1	-	Mitochondrial transcription termination factor family protein	-	-
Potri.001G030400	AT4G37210.1	-	Tetratricopeptide repeat (TPR)-like superfamily protein	-	-
Potri.001G030500	AT4G37210.1	-	Tetratricopeptide repeat (TPR)-like superfamily protein	-	-
Potri.001G030600	AT2G22590.1	-	UDP-Glycosyltransferase superfamily protein	-	-
Potri.001G030700	AT1G29940.1	NRPA2	nuclear RNA polymerase A2	-	-
Potri.001G030800	AT1G29940.1	NRPA2	nuclear RNA polymerase A2	-	-
Potri.001G030900	AT3G15140.1	-	Polynucleotidyl transferase, ribonuclease H-like superfamily protein	-	-
Potri.001G031000	-	-	-	-	-
Potri.001G031100	-	-	-	-	-
Potri.001G031200	-	-	-	-	-
Potri.001G031300	-	-	-	-	-
Potri.001G031400	AT3G12280.2	ATRBR1,RB,RB1,RBR,RBR1	retinoblastoma-related 1	-	-
Potri.001G031500	AT5G22130.1	PNT1	mannosyltransferase family protein	-	-
Potri.001G031600	AT5G47530.1	-	Auxin-responsive family protein	-	-
Potri.001G031700	AT5G09860.1	AtHPR1,AtTHO1,HPR1,THO1	nuclear matrix protein-related	-	-
Potri.001G031800	AT5G06980.4	-	-	-	-
Potri.001G031900	AT5G06990.1	-	Protein of unknown function, DUF617	-	-
Potri.001G032000	AT1G74320.1	-	Protein kinase superfamily protein	-	-
Potri.001G032100	AT3G28050.1	-	nodulin MtN21 /EamA-like transporter family protein	-	-
Potri.001G032200	AT5G07020.1	-	proline-rich family protein	-	-
Potri.001G032300	AT5G07040.1	-	RING/U-box superfamily protein	-	-
Potri.001G032400	AT5G16080.1	AtCXE17,CXE17	carboxyesterase 17	-	-
Potri.001G032500	AT5G07050.1	-	nodulin MtN21 /EamA-like transporter family protein	-	-
Potri.001G032600	AT4G26760.1	MAP65-2	microtubule-associated protein 65-2	-	-
Potri.001G032700	AT5G55230.2	ATMAP65-1,MAP65-1	microtubule-associated proteins 65-1	-	-
Potri.001G032800	AT2G26710.1	BAS1,CYP72B1,CYP734A1	Cytochrome P450 superfamily protein	-	-
Potri.001G032900	AT3G12490.2	ATCYS6,ATCYSB,CYSB	cystatin B	-	-
Potri.001G033000	AT3G14460.1	-	LRR and NB-ARC domains-containing disease resistance protein	-	-
Potri.001G033100	AT3G14470.1	-	NB-ARC domain-containing disease resistance protein	-	-
Potri.001G033200	AT3G12480.1	NF-YC11	nuclear factor Y, subunit C11	NF-YC	NF-YC
Potri.001G033300	-	-	-	-	-
Potri.001G033400	AT1G15780.1	-	-	-	-
Potri.001G033500	-	-	-	-	-
Potri.001G033600	AT2G26920.1	-	Ubiquitin-associated/translation elongation factor EF1B protein	-	-
Potri.001G033700	-	-	-	-	-
Potri.001G033800	AT2G03220.1	ATFT1,ATFUT1,FT1,MUR2	fucosyltransferase 1	-	-
Potri.001G033900	AT2G43190.3	-	ribonuclease P family protein	-	-
Potri.001G034000	AT1G14110.1	ATFUT9,FUT9	fucosyltransferase 9	-	-
Potri.001G034100	AT2G03220.1	ATFT1,ATFUT1,FT1,MUR2	fucosyltransferase 1	-	-
Potri.001G034200	AT3G12400.1	ATELC,ELC	Ubiquitin-conjugating enzyme/RWD-like protein	-	-
Potri.001G034300	AT1G65440.2	GTB1	global transcription factor group B1	-	-
Potri.001G034400	AT3G12390.1	-	Nascent polypeptide-associated complex (NAC), alpha subunit family protein	-	-
Potri.001G034500	AT5G07900.1	-	Mitochondrial transcription termination factor family protein	-	-
Potri.001G034600	AT5G07900.1	-	Mitochondrial transcription termination factor family protein	-	-
Potri.001G034700	AT5G07900.1	-	Mitochondrial transcription termination factor family protein	-	-
Potri.001G034800	-	-	-	-	-
Potri.001G034900	AT5G07900.1	-	Mitochondrial transcription termination factor family protein	-	-
Potri.001G035000	AT5G07900.1	-	Mitochondrial transcription termination factor family protein	-	-
Potri.001G035100	-	-	-	-	-
